site,year,plot_name,tree_count,density,mean_height_cm,sd_height,mean_diameter_cm,sd_diameter,mean_biomass,sd_biomass,mean_carbon_Mg_ha,sd_carbon_Mg_ha,std_error
A,2010,Sample_Plot#01,86,0.5584415584415584,86.17441860465117,30.926931671266374,75.546511627907,39.192933629821944,0.9657441860465117,1.0947549195090789,0.06275581395348838,0.07109114879074965,0.007665955724324803
A,2010,Sample_Plot#02,122,0.7922077922077922,95.46721311475413,30.635469214413302,80.65573770491805,47.28020404016244,1.2030409836065574,2.4984077984252457,0.07814754098360656,0.1622882687811596,0.014692889488051053
A,2010,Sample_Plot#03,110,0.7142857142857143,91.60000000000004,29.65062618272206,73.37272727272723,39.87684230385817,0.9327545454545453,1.2939228823379951,0.060581818181818174,0.08406238201513432,0.008015033641430207
A,2010,Sample_Plot#04,96,0.6233766233766234,75.52083333333334,29.073040203368258,61.4375,32.39487045164631,0.6255729166666666,0.7274551712690895,0.04063541666666667,0.047243851126874126,0.004821805364368903
A,2010,Sample_Plot#05,84,0.5454545454545454,110.82142857142854,34.410757884352975,84.0833333333333,50.58720451897076,1.3287023809523812,2.2536580907213453,0.08630952380952381,0.14637935335602195,0.015971296831729972
A,2010,Sample_Plot#06,107,0.6948051948051948,77.53271028037385,26.49503967709319,63.10280373831773,34.77798440985419,0.6768411214953269,0.7745303768788956,0.04397196261682243,0.050312506030736816,0.004863893543524328
A,2010,Sample_Plot#07,141,0.9155844155844156,76.63120567375891,29.29222504047246,66.66666666666661,46.992805933715104,0.903113475177305,1.7259407914534146,0.05868085106382979,0.11212329432682171,0.009442484771363963
A,2017,Sample_Plot#08,203,1.3181818181818181,101.35960591133001,13.856897479764989,55.50738916256157,25.613534760976744,0.4798522167487685,1.315998043060521,0.03113793103448276,0.08547943235711279,0.005999480008704787
A,2017,Sample_Plot#09,202,1.3116883116883118,104.97524752475252,15.698159767554934,60.95544554455446,20.310353094796955,0.5216237623762376,0.641253302556412,0.03385643564356436,0.04166944289061524,0.0029318517708116
A,2017,Sample_Plot#12,298,1.9350649350649352,96.8087248322148,15.266002512508182,49.3791946308725,14.315604610917863,0.3211476510067114,0.2032982872874051,0.020859060402684572,0.013200357170062285,7.646761595059887e-4
A,2017,Sample_Plot#13,183,1.1883116883116882,84.13114754098358,15.6491147906474,54.10928961748634,16.69503680403815,0.3955846994535519,0.2680318420188832,0.02572677595628415,0.017404107573430774,0.0012865486520261603
A,2017,Sample_Plot#14,160,1.0389610389610389,108.31874999999998,15.539914877582692,65.8375,16.418231735888412,0.5805625,0.3058017133586432,0.03773125,0.019845859436982135,0.0015689529486102602
A,2017,Sample_Plot#16,288,1.87012987012987,107.60069444444451,18.916567214891533,49.54166666666667,17.661696975933147,0.33942361111111113,0.3061587818752201,0.022059027777777785,0.01989869784822552,0.0011725420154385358
A,2017,Sample_Plot#17,223,1.448051948051948,105.67264573991022,23.608585926628805,47.461883408071714,17.48453963267336,0.3120403587443946,0.2867949689581227,0.020282511210762338,0.018623728180014645,0.0012471370825991998
A,2017,Sample_Plot#19,151,0.9805194805194806,131.4304635761589,36.94220890955219,50.88741721854304,22.592194240889956,0.386635761589404,0.43041596134350024,0.025092715231788076,0.027927131609094758,0.0022726777390064553
A,2017,Sample_Plot#23,129,0.8376623376623377,73.15503875968994,26.317903130640907,61.49612403100775,27.688875256761424,0.5849379844961241,0.7502341796059617,0.037984496124031014,0.048696602887182354,0.004287496814699869
A,2017,Sample_Plot#25,183,1.1883116883116882,52.97267759562837,19.069690494036376,50.97267759562836,27.150057513951396,0.4185628415300547,0.38414757228567803,0.027174863387978147,0.024971016646731545,0.001845910666262469
A,2017,Sample_Plot#26,245,1.5909090909090908,61.46938775510212,19.63759989259513,49.18775510204076,22.336598217718365,0.36170612244897965,0.37691419013438204,0.023510204081632645,0.024484122028685364,0.0015642331778725864
A,2017,Sample_Plot#27,119,0.7727272727272727,75.22689075630254,28.567623304496752,67.9495798319328,28.104480835665726,0.6984033613445378,0.6339584052992927,0.04538655462184875,0.04114363209243425,0.0037716305701416156
A,2017,Sample_Plot#28,143,0.9285714285714286,79.3006993006993,23.878517354660666,62.45454545454543,24.449639898476473,0.5722447552447553,0.4861112898831668,0.03718881118881118,0.031553654516798965,0.0026386491476197284
A,2017,Sample_Plot#29,108,0.7012987012987013,76.25925925925922,28.856515929607784,74.56481481481484,30.54344940956318,0.8489074074074073,0.7061169125224411,0.05512962962962963,0.04588528821559149,0.004415313917185885
A,2017,Sample_Plot#32,116,0.7532467532467533,65.29310344827589,19.34448230122091,69.59482758620692,22.645079491744035,0.6864396551724138,0.46997972738504734,0.04461206896551724,0.030556795743613925,0.0028371272596087434
